,0
0,"{'danceability': 0.662, 'energy': 0.478, 'key': 9, 'loudness': -8.631, 'mode': 1, 'speechiness': 0.0453, 'acousticness': 0.252, 'instrumentalness': 0.833, 'liveness': 0.216, 'valence': 0.43, 'tempo': 139.982, 'type': 'audio_features', 'id': '1yCJHs8UFfmqMujayg9i5y', 'uri': 'spotify:track:1yCJHs8UFfmqMujayg9i5y', 'track_href': 'https://api.spotify.com/v1/tracks/1yCJHs8UFfmqMujayg9i5y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1yCJHs8UFfmqMujayg9i5y', 'duration_ms': 422613, 'time_signature': 4}"
1,"{'danceability': 0.857, 'energy': 0.368, 'key': 7, 'loudness': -10.87, 'mode': 1, 'speechiness': 0.0409, 'acousticness': 0.0611, 'instrumentalness': 0.000548, 'liveness': 0.0703, 'valence': 0.725, 'tempo': 97.513, 'type': 'audio_features', 'id': '0mGJYajNW8Y4T9NxnD6P79', 'uri': 'spotify:track:0mGJYajNW8Y4T9NxnD6P79', 'track_href': 'https://api.spotify.com/v1/tracks/0mGJYajNW8Y4T9NxnD6P79', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0mGJYajNW8Y4T9NxnD6P79', 'duration_ms': 207160, 'time_signature': 4}"
2,"{'danceability': 0.551, 'energy': 0.529, 'key': 5, 'loudness': -10.469, 'mode': 0, 'speechiness': 0.0517, 'acousticness': 0.299, 'instrumentalness': 0.00674, 'liveness': 0.178, 'valence': 0.522, 'tempo': 75.515, 'type': 'audio_features', 'id': '4LB5cNN7f18wIJA2RU4iIO', 'uri': 'spotify:track:4LB5cNN7f18wIJA2RU4iIO', 'track_href': 'https://api.spotify.com/v1/tracks/4LB5cNN7f18wIJA2RU4iIO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4LB5cNN7f18wIJA2RU4iIO', 'duration_ms': 182307, 'time_signature': 4}"
3,"{'danceability': 0.555, 'energy': 0.492, 'key': 8, 'loudness': -12.338, 'mode': 0, 'speechiness': 0.206, 'acousticness': 0.526, 'instrumentalness': 0.0354, 'liveness': 0.143, 'valence': 0.672, 'tempo': 144.506, 'type': 'audio_features', 'id': '1hTo9vkhJuRkE5BGJeNfdt', 'uri': 'spotify:track:1hTo9vkhJuRkE5BGJeNfdt', 'track_href': 'https://api.spotify.com/v1/tracks/1hTo9vkhJuRkE5BGJeNfdt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1hTo9vkhJuRkE5BGJeNfdt', 'duration_ms': 448653, 'time_signature': 4}"
4,"{'danceability': 0.578, 'energy': 0.338, 'key': 8, 'loudness': -12.005, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.355, 'instrumentalness': 3.92e-06, 'liveness': 0.0866, 'valence': 0.53, 'tempo': 83.876, 'type': 'audio_features', 'id': '6olfAuiqOGpkQLo4i5A7nd', 'uri': 'spotify:track:6olfAuiqOGpkQLo4i5A7nd', 'track_href': 'https://api.spotify.com/v1/tracks/6olfAuiqOGpkQLo4i5A7nd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6olfAuiqOGpkQLo4i5A7nd', 'duration_ms': 246545, 'time_signature': 4}"
5,"{'danceability': 0.657, 'energy': 0.397, 'key': 3, 'loudness': -10.558, 'mode': 1, 'speechiness': 0.0349, 'acousticness': 0.434, 'instrumentalness': 0.086, 'liveness': 0.0841, 'valence': 0.595, 'tempo': 94.016, 'type': 'audio_features', 'id': '6UbOE1KhvE5EjWxAF0EaB8', 'uri': 'spotify:track:6UbOE1KhvE5EjWxAF0EaB8', 'track_href': 'https://api.spotify.com/v1/tracks/6UbOE1KhvE5EjWxAF0EaB8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6UbOE1KhvE5EjWxAF0EaB8', 'duration_ms': 220880, 'time_signature': 4}"
6,"{'danceability': 0.622, 'energy': 0.46, 'key': 7, 'loudness': -8.389, 'mode': 0, 'speechiness': 0.0372, 'acousticness': 0.14, 'instrumentalness': 0.000369, 'liveness': 0.119, 'valence': 0.514, 'tempo': 183.241, 'type': 'audio_features', 'id': '3bBmpVl9rQKJsFFGLFilIS', 'uri': 'spotify:track:3bBmpVl9rQKJsFFGLFilIS', 'track_href': 'https://api.spotify.com/v1/tracks/3bBmpVl9rQKJsFFGLFilIS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3bBmpVl9rQKJsFFGLFilIS', 'duration_ms': 242341, 'time_signature': 4}"
7,"{'danceability': 0.514, 'energy': 0.632, 'key': 2, 'loudness': -6.305, 'mode': 1, 'speechiness': 0.0501, 'acousticness': 0.208, 'instrumentalness': 0.0132, 'liveness': 0.115, 'valence': 0.31, 'tempo': 94.569, 'type': 'audio_features', 'id': '601KiLiZtBJRTXBrTjeieP', 'uri': 'spotify:track:601KiLiZtBJRTXBrTjeieP', 'track_href': 'https://api.spotify.com/v1/tracks/601KiLiZtBJRTXBrTjeieP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/601KiLiZtBJRTXBrTjeieP', 'duration_ms': 233818, 'time_signature': 4}"
8,"{'danceability': 0.838, 'energy': 0.536, 'key': 2, 'loudness': -6.288, 'mode': 1, 'speechiness': 0.0435, 'acousticness': 0.072, 'instrumentalness': 0.000259, 'liveness': 0.208, 'valence': 0.89, 'tempo': 119.956, 'type': 'audio_features', 'id': '24G1PXBWoRgV0wDXZKwxzz', 'uri': 'spotify:track:24G1PXBWoRgV0wDXZKwxzz', 'track_href': 'https://api.spotify.com/v1/tracks/24G1PXBWoRgV0wDXZKwxzz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/24G1PXBWoRgV0wDXZKwxzz', 'duration_ms': 224444, 'time_signature': 4}"
9,"{'danceability': 0.72, 'energy': 0.625, 'key': 7, 'loudness': -6.274, 'mode': 1, 'speechiness': 0.0362, 'acousticness': 0.0112, 'instrumentalness': 0.0076, 'liveness': 0.0999, 'valence': 0.818, 'tempo': 102.006, 'type': 'audio_features', 'id': '0APAKxMXB7jdDs4kw1l30y', 'uri': 'spotify:track:0APAKxMXB7jdDs4kw1l30y', 'track_href': 'https://api.spotify.com/v1/tracks/0APAKxMXB7jdDs4kw1l30y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0APAKxMXB7jdDs4kw1l30y', 'duration_ms': 193293, 'time_signature': 4}"
