,0
0,"{'danceability': 0.622, 'energy': 0.906, 'key': 4, 'loudness': -4.709, 'mode': 1, 'speechiness': 0.0928, 'acousticness': 0.00563, 'instrumentalness': 1.23e-05, 'liveness': 0.227, 'valence': 0.401, 'tempo': 127.078, 'type': 'audio_features', 'id': '44fYOqfwMLA5GhZpVQN8bu', 'uri': 'spotify:track:44fYOqfwMLA5GhZpVQN8bu', 'track_href': 'https://api.spotify.com/v1/tracks/44fYOqfwMLA5GhZpVQN8bu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/44fYOqfwMLA5GhZpVQN8bu', 'duration_ms': 199427, 'time_signature': 4}"
1,"{'danceability': 0.462, 'energy': 0.727, 'key': 11, 'loudness': -3.456, 'mode': 1, 'speechiness': 0.0429, 'acousticness': 0.244, 'instrumentalness': 0.000471, 'liveness': 0.0603, 'valence': 0.725, 'tempo': 106.238, 'type': 'audio_features', 'id': '56U1t1lYUbTxpTCCYjZAXt', 'uri': 'spotify:track:56U1t1lYUbTxpTCCYjZAXt', 'track_href': 'https://api.spotify.com/v1/tracks/56U1t1lYUbTxpTCCYjZAXt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/56U1t1lYUbTxpTCCYjZAXt', 'duration_ms': 175800, 'time_signature': 4}"
2,"{'danceability': 0.372, 'energy': 0.618, 'key': 4, 'loudness': -7.756, 'mode': 1, 'speechiness': 0.0567, 'acousticness': 0.0981, 'instrumentalness': 0.001, 'liveness': 0.125, 'valence': 0.325, 'tempo': 152.51, 'type': 'audio_features', 'id': '6xxy4SktborcH1wRjISek5', 'uri': 'spotify:track:6xxy4SktborcH1wRjISek5', 'track_href': 'https://api.spotify.com/v1/tracks/6xxy4SktborcH1wRjISek5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6xxy4SktborcH1wRjISek5', 'duration_ms': 234674, 'time_signature': 4}"
3,"{'danceability': 0.746, 'energy': 0.475, 'key': 10, 'loudness': -11.243, 'mode': 0, 'speechiness': 0.113, 'acousticness': 0.0175, 'instrumentalness': 1.1e-05, 'liveness': 0.197, 'valence': 0.292, 'tempo': 80.006, 'type': 'audio_features', 'id': '3NxAG2ni1lLa8RKL6a0INc', 'uri': 'spotify:track:3NxAG2ni1lLa8RKL6a0INc', 'track_href': 'https://api.spotify.com/v1/tracks/3NxAG2ni1lLa8RKL6a0INc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3NxAG2ni1lLa8RKL6a0INc', 'duration_ms': 241400, 'time_signature': 4}"
4,"{'danceability': 0.749, 'energy': 0.606, 'key': 0, 'loudness': -5.431, 'mode': 0, 'speechiness': 0.0317, 'acousticness': 0.529, 'instrumentalness': 0.0283, 'liveness': 0.0833, 'valence': 0.742, 'tempo': 100.02, 'type': 'audio_features', 'id': '1RSL0AkbRrxgjiRRQubpRn', 'uri': 'spotify:track:1RSL0AkbRrxgjiRRQubpRn', 'track_href': 'https://api.spotify.com/v1/tracks/1RSL0AkbRrxgjiRRQubpRn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1RSL0AkbRrxgjiRRQubpRn', 'duration_ms': 210300, 'time_signature': 4}"
5,"{'danceability': 0.487, 'energy': 0.369, 'key': 11, 'loudness': -13.424, 'mode': 0, 'speechiness': 0.0406, 'acousticness': 0.736, 'instrumentalness': 3.75e-05, 'liveness': 0.0925, 'valence': 0.106, 'tempo': 183.114, 'type': 'audio_features', 'id': '1gk3FhAV07q9Jg77UxnVjX', 'uri': 'spotify:track:1gk3FhAV07q9Jg77UxnVjX', 'track_href': 'https://api.spotify.com/v1/tracks/1gk3FhAV07q9Jg77UxnVjX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1gk3FhAV07q9Jg77UxnVjX', 'duration_ms': 289307, 'time_signature': 4}"
6,"{'danceability': 0.617, 'energy': 0.65, 'key': 4, 'loudness': -5.754, 'mode': 0, 'speechiness': 0.0331, 'acousticness': 0.0469, 'instrumentalness': 0, 'liveness': 0.223, 'valence': 0.601, 'tempo': 105.68, 'type': 'audio_features', 'id': '4pVIPBplQRoGOh7CXA67Jy', 'uri': 'spotify:track:4pVIPBplQRoGOh7CXA67Jy', 'track_href': 'https://api.spotify.com/v1/tracks/4pVIPBplQRoGOh7CXA67Jy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4pVIPBplQRoGOh7CXA67Jy', 'duration_ms': 218300, 'time_signature': 4}"
7,"{'danceability': 0.466, 'energy': 0.302, 'key': 9, 'loudness': -10.334, 'mode': 0, 'speechiness': 0.0509, 'acousticness': 0.388, 'instrumentalness': 0, 'liveness': 0.262, 'valence': 0.298, 'tempo': 131.951, 'type': 'audio_features', 'id': '50bmpfgcV29ouRVDfr5wOc', 'uri': 'spotify:track:50bmpfgcV29ouRVDfr5wOc', 'track_href': 'https://api.spotify.com/v1/tracks/50bmpfgcV29ouRVDfr5wOc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/50bmpfgcV29ouRVDfr5wOc', 'duration_ms': 215427, 'time_signature': 4}"
8,"{'danceability': 0.647, 'energy': 0.688, 'key': 4, 'loudness': -5.875, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.195, 'instrumentalness': 0, 'liveness': 0.108, 'valence': 0.548, 'tempo': 99.022, 'type': 'audio_features', 'id': '0eggSuKkQSESeYolitCL52', 'uri': 'spotify:track:0eggSuKkQSESeYolitCL52', 'track_href': 'https://api.spotify.com/v1/tracks/0eggSuKkQSESeYolitCL52', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0eggSuKkQSESeYolitCL52', 'duration_ms': 262121, 'time_signature': 4}"
9,"{'danceability': 0.536, 'energy': 0.65, 'key': 0, 'loudness': -5.138, 'mode': 1, 'speechiness': 0.0328, 'acousticness': 0.327, 'instrumentalness': 0, 'liveness': 0.314, 'valence': 0.43, 'tempo': 104.983, 'type': 'audio_features', 'id': '7zgU1zMg7eE350gysscNVi', 'uri': 'spotify:track:7zgU1zMg7eE350gysscNVi', 'track_href': 'https://api.spotify.com/v1/tracks/7zgU1zMg7eE350gysscNVi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7zgU1zMg7eE350gysscNVi', 'duration_ms': 190287, 'time_signature': 4}"
