,0
0,"{'danceability': 0.398, 'energy': 0.706, 'key': 7, 'loudness': -4.301, 'mode': 1, 'speechiness': 0.0565, 'acousticness': 0.129, 'instrumentalness': 6.89e-06, 'liveness': 0.293, 'valence': 0.516, 'tempo': 122.049, 'type': 'audio_features', 'id': '0NoN2f4Qmp0J7QCbk22z6P', 'uri': 'spotify:track:0NoN2f4Qmp0J7QCbk22z6P', 'track_href': 'https://api.spotify.com/v1/tracks/0NoN2f4Qmp0J7QCbk22z6P', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0NoN2f4Qmp0J7QCbk22z6P', 'duration_ms': 241787, 'time_signature': 4}"
1,"{'danceability': 0.661, 'energy': 0.942, 'key': 11, 'loudness': -3.632, 'mode': 0, 'speechiness': 0.0949, 'acousticness': 0.382, 'instrumentalness': 0.00902, 'liveness': 0.0938, 'valence': 0.552, 'tempo': 104.012, 'type': 'audio_features', 'id': '4vBIr27NcRFBNpyIxLHZuB', 'uri': 'spotify:track:4vBIr27NcRFBNpyIxLHZuB', 'track_href': 'https://api.spotify.com/v1/tracks/4vBIr27NcRFBNpyIxLHZuB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4vBIr27NcRFBNpyIxLHZuB', 'duration_ms': 208280, 'time_signature': 4}"
2,"{'danceability': 0.445, 'energy': 0.446, 'key': 9, 'loudness': -8.87, 'mode': 1, 'speechiness': 0.0286, 'acousticness': 0.324, 'instrumentalness': 0.119, 'liveness': 0.106, 'valence': 0.0384, 'tempo': 92.463, 'type': 'audio_features', 'id': '0WSPIU3Y3bNXsGeKnzSnt1', 'uri': 'spotify:track:0WSPIU3Y3bNXsGeKnzSnt1', 'track_href': 'https://api.spotify.com/v1/tracks/0WSPIU3Y3bNXsGeKnzSnt1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0WSPIU3Y3bNXsGeKnzSnt1', 'duration_ms': 358870, 'time_signature': 4}"
3,"{'danceability': 0.536, 'energy': 0.823, 'key': 7, 'loudness': -7.876, 'mode': 1, 'speechiness': 0.105, 'acousticness': 0.0799, 'instrumentalness': 0.000454, 'liveness': 0.0602, 'valence': 0.364, 'tempo': 92.016, 'type': 'audio_features', 'id': '5CxORi41X959HgX0m9avzq', 'uri': 'spotify:track:5CxORi41X959HgX0m9avzq', 'track_href': 'https://api.spotify.com/v1/tracks/5CxORi41X959HgX0m9avzq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5CxORi41X959HgX0m9avzq', 'duration_ms': 409630, 'time_signature': 4}"
4,"{'danceability': 0.656, 'energy': 0.828, 'key': 1, 'loudness': -5.045, 'mode': 0, 'speechiness': 0.0504, 'acousticness': 0.000331, 'instrumentalness': 0.486, 'liveness': 0.197, 'valence': 0.437, 'tempo': 121.991, 'type': 'audio_features', 'id': '6MtIerVDZGoo78DJqT4HoJ', 'uri': 'spotify:track:6MtIerVDZGoo78DJqT4HoJ', 'track_href': 'https://api.spotify.com/v1/tracks/6MtIerVDZGoo78DJqT4HoJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6MtIerVDZGoo78DJqT4HoJ', 'duration_ms': 158027, 'time_signature': 4}"
5,"{'danceability': 0.623, 'energy': 0.763, 'key': 9, 'loudness': -4.412, 'mode': 1, 'speechiness': 0.0719, 'acousticness': 0.199, 'instrumentalness': 6.52e-06, 'liveness': 0.126, 'valence': 0.199, 'tempo': 108.871, 'type': 'audio_features', 'id': '6iCJCZqDJjmBxt07Oid6FI', 'uri': 'spotify:track:6iCJCZqDJjmBxt07Oid6FI', 'track_href': 'https://api.spotify.com/v1/tracks/6iCJCZqDJjmBxt07Oid6FI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6iCJCZqDJjmBxt07Oid6FI', 'duration_ms': 226610, 'time_signature': 4}"
6,"{'danceability': 0.491, 'energy': 0.813, 'key': 4, 'loudness': -3.899, 'mode': 1, 'speechiness': 0.0559, 'acousticness': 0.213, 'instrumentalness': 0.0212, 'liveness': 0.0788, 'valence': 0.554, 'tempo': 82.901, 'type': 'audio_features', 'id': '1s6ZeNCxTkbN0QgzsvK2SB', 'uri': 'spotify:track:1s6ZeNCxTkbN0QgzsvK2SB', 'track_href': 'https://api.spotify.com/v1/tracks/1s6ZeNCxTkbN0QgzsvK2SB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1s6ZeNCxTkbN0QgzsvK2SB', 'duration_ms': 274730, 'time_signature': 4}"
7,"{'danceability': 0.641, 'energy': 0.639, 'key': 11, 'loudness': -12.974, 'mode': 1, 'speechiness': 0.0312, 'acousticness': 0.466, 'instrumentalness': 0.0167, 'liveness': 0.0757, 'valence': 0.618, 'tempo': 125.067, 'type': 'audio_features', 'id': '0kSs2zmoa2t9YrXzEDHSYJ', 'uri': 'spotify:track:0kSs2zmoa2t9YrXzEDHSYJ', 'track_href': 'https://api.spotify.com/v1/tracks/0kSs2zmoa2t9YrXzEDHSYJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0kSs2zmoa2t9YrXzEDHSYJ', 'duration_ms': 358373, 'time_signature': 4}"
8,"{'danceability': 0.427, 'energy': 0.559, 'key': 2, 'loudness': -7.524, 'mode': 1, 'speechiness': 0.0268, 'acousticness': 0.00111, 'instrumentalness': 0.00462, 'liveness': 0.12, 'valence': 0.333, 'tempo': 139.958, 'type': 'audio_features', 'id': '7hGZR5GEbXC8fj07Chx1yG', 'uri': 'spotify:track:7hGZR5GEbXC8fj07Chx1yG', 'track_href': 'https://api.spotify.com/v1/tracks/7hGZR5GEbXC8fj07Chx1yG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7hGZR5GEbXC8fj07Chx1yG', 'duration_ms': 233200, 'time_signature': 4}"
9,"{'danceability': 0.528, 'energy': 0.857, 'key': 9, 'loudness': -5.189, 'mode': 1, 'speechiness': 0.0277, 'acousticness': 0.0132, 'instrumentalness': 1.15e-06, 'liveness': 0.0526, 'valence': 0.62, 'tempo': 96.002, 'type': 'audio_features', 'id': '3sekCM8OmHpF3Xd5xZm0E6', 'uri': 'spotify:track:3sekCM8OmHpF3Xd5xZm0E6', 'track_href': 'https://api.spotify.com/v1/tracks/3sekCM8OmHpF3Xd5xZm0E6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3sekCM8OmHpF3Xd5xZm0E6', 'duration_ms': 183991, 'time_signature': 4}"
